epoch  train_loss  valid_loss  accuracy
1      6.414770    6.428066    0.144625
2      6.226124    6.263270    0.151057
3      6.231683    6.206880    0.153350
4      6.143030    6.183054    0.154572
5      6.278388    6.165837    0.155247
6      6.178227    6.158709    0.155768
7      6.234367    6.135243    0.157234
8      6.160236    6.131688    0.156625
9      6.145623    6.116804    0.158521
10     6.047359    6.118360    0.157836
11     6.090157    6.100945    0.158291
12     6.108042    6.115551    0.157653
13     6.169312    6.099781    0.158813
14     6.161803    6.097202    0.158578
15     6.213392    6.089391    0.158140
16     6.078731    6.088662    0.159983
17     6.127679    6.086406    0.159037
18     6.095415    6.091074    0.158579
19     6.077703    6.083211    0.159149
20     6.128475    6.087420    0.159440
epoch  train_loss  valid_loss  accuracy
1      6.172387    6.074893    0.159475
2      6.044614    6.073691    0.160263
3      6.075218    6.065722    0.160670
4      6.034299    6.068336    0.160503
5      6.095295    6.070782    0.160954
6      6.036606    6.071483    0.160109
epoch  train_loss  valid_loss  accuracy
1      3.943741    3.113708    0.386478
2      3.059154    2.734639    0.442034
3      2.667028    2.559004    0.469555
4      2.450603    2.473484    0.480894
5      2.320392    2.422915    0.491141
6      2.215254    2.380086    0.496323
7      2.130708    2.365667    0.502889
8      2.062371    2.346434    0.504308
9      2.010664    2.336700    0.508900
10     1.955351    2.332346    0.508767
11     1.917027    2.329588    0.510751
12     1.866313    2.342907    0.511602
13     1.854963    2.341835    0.512845
14     1.808855    2.336493    0.515322
15     1.786721    2.341110    0.516752
16     1.759935    2.351676    0.517886
17     1.722514    2.351406    0.518294
18     1.703576    2.361626    0.518162
19     1.696380    2.363020    0.518846
20     1.671872    2.360062    0.520201
