epoch  train_loss  valid_loss  accuracy
1      6.364408    6.392747    0.146621
2      6.151371    6.252631    0.151143
3      6.193517    6.189660    0.153993
4      6.079237    6.157201    0.155624
5      6.093538    6.151166    0.156441
6      6.059620    6.138564    0.156608
7      6.098111    6.136588    0.156793
8      6.183734    6.128739    0.156662
9      6.005499    6.110156    0.158192
10     6.004982    6.094205    0.158635
11     6.066365    6.093239    0.159055
12     6.054353    6.098130    0.157741
13     6.078172    6.092714    0.159307
14     6.119452    6.082398    0.158203
15     6.120123    6.083894    0.158617
16     6.092679    6.087919    0.159343
17     6.135652    6.066173    0.159382
18     6.000058    6.080035    0.160297
19     5.962379    6.063694    0.160139
20     6.019650    6.068054    0.160251
21     6.030376    6.057306    0.161103
22     6.104678    6.074307    0.160427
23     5.958500    6.053616    0.161560
24     5.945516    6.051287    0.161413
25     5.994608    6.050732    0.161736
26     5.946625    6.051332    0.160756
27     5.968117    6.046858    0.161617
28     6.105227    6.055335    0.161169
29     5.945314    6.044721    0.161533
30     6.045329    6.044104    0.160902
31     6.013721    6.049975    0.161096
32     6.036960    6.055812    0.160770
33     6.042362    6.040902    0.161567
34     6.001626    6.047432    0.161696
35     5.996637    6.053206    0.161802
36     6.059021    6.059223    0.159848
37     6.114308    6.037963    0.162586
38     5.981089    6.037122    0.162549
39     6.005515    6.031702    0.162166
40     6.020269    6.044019    0.160993
41     5.911773    6.031140    0.162316
42     5.988596    6.053804    0.161593
43     6.007468    6.040210    0.161658
44     6.055001    6.051520    0.161635
45     6.018537    6.035468    0.162394
46     5.981052    6.039561    0.162394
47     5.918379    6.037059    0.162085
48     6.007637    6.032615    0.162728
49     6.070361    6.031841    0.162777
50     6.035164    6.023639    0.163339
51     6.024095    6.041477    0.162219
52     5.891482    6.040088    0.161351
53     5.996508    6.041443    0.160543
54     5.982648    6.036018    0.161726
55     5.963141    6.038328    0.162560
56     6.040069    6.037333    0.162532
57     5.998543    6.028009    0.162474
58     6.022376    6.049675    0.161927
59     6.010301    6.031472    0.162067
60     5.906235    6.046814    0.162355
61     5.963367    6.035837    0.161597
62     6.002815    6.033813    0.162567
63     6.111753    6.049988    0.160880
64     6.066327    6.037499    0.162083
65     6.020005    6.031153    0.163446
66     5.975245    6.039545    0.163122
67     5.909895    6.038942    0.162707
68     5.882063    6.036853    0.162094
69     6.105628    6.040329    0.161655
70     5.989233    6.027260    0.163118
71     6.032820    6.031134    0.162177
72     6.037167    6.029140    0.162961
73     5.999996    6.053086    0.161315
74     5.992333    6.036495    0.161354
75     6.093423    6.031737    0.163093
76     6.036173    6.038015    0.162219
77     6.021714    6.028214    0.162914
78     6.001289    6.036689    0.162476
79     6.028648    6.033878    0.162090
80     6.028008    6.046334    0.161364
