
SIMPLE-AWD: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.696811    0.721326    0.314010
2      0.672219    0.606438    0.695652
3      0.628035    0.585670    0.729469
4      0.621247    0.555371    0.748792
5      0.614031    0.546306    0.734300
6      0.643968    0.616980    0.719807
7      0.597546    0.524621    0.719807
8      0.592614    0.489114    0.724638
9      0.578455    0.471614    0.714976
10     0.573491    0.426070    0.816425
11     0.583056    0.473816    0.705314
12     0.576998    0.438344    0.772947
13     0.531124    0.469970    0.724638
14     0.544237    0.401588    0.816425
15     0.485068    0.445119    0.739130
16     0.497479    0.424391    0.763285
17     0.477249    0.412166    0.772947
18     0.508552    0.461976    0.729469
19     0.496628    0.403980    0.792271
20     0.471471    0.418413    0.777778
epoch  train_loss  valid_loss  accuracy
1      0.664502    0.632072    0.685990
2      0.694191    0.689586    0.589372
3      0.671903    0.705044    0.516908
4      0.686909    0.644406    0.666667
5      0.630388    0.645059    0.623188
6      0.608241    0.599478    0.710145
7      0.604386    0.575852    0.710145
8      0.580367    0.556600    0.734300
9      0.589503    0.533745    0.739130
10     0.602826    0.508813    0.748792
11     0.583314    0.482402    0.763285
12     0.575544    0.482044    0.758454
13     0.582366    0.435928    0.797101
14     0.565728    0.462269    0.763285
15     0.513599    0.471927    0.743961
16     0.486604    0.438683    0.768116
17     0.475103    0.455626    0.768116
18     0.455712    0.417624    0.782609
19     0.493162    0.421260    0.797101
20     0.522612    0.397455    0.806763
epoch  train_loss  valid_loss  accuracy
1      0.608693    0.656311    0.685990
2      0.588903    0.606661    0.710145
3      0.582963    0.575910    0.739130
4      0.624847    0.557636    0.729469
5      0.584918    0.558914    0.719807
6      0.586704    0.521714    0.705314
7      0.580590    0.509470    0.729469
8      0.576676    0.510231    0.724638
9      0.565370    0.477826    0.739130
10     0.546684    0.477831    0.743961
11     0.523399    0.437475    0.772947
12     0.530055    0.416582    0.782609
13     0.535104    0.411269    0.772947
14     0.516903    0.481704    0.743961
15     0.484247    0.450600    0.748792
16     0.500386    0.396547    0.792271
17     0.499238    0.390209    0.806763
18     0.486019    0.394440    0.792271
19     0.493676    0.392296    0.801932
20     0.463204    0.352485    0.826087
epoch  train_loss  valid_loss  accuracy
1      0.726739    0.751390    0.314010
2      0.702170    0.716554    0.444444
3      0.650527    0.661667    0.613527
4      0.608948    0.656056    0.570048
5      0.639325    0.581560    0.714976
6      0.630863    0.552902    0.734300
7      0.606788    0.554044    0.734300
8      0.613005    0.533952    0.743961
9      0.586846    0.518167    0.753623
10     0.587421    0.493113    0.768116
11     0.574786    0.482297    0.777778
12     0.535679    0.480544    0.763285
13     0.564008    0.439140    0.801932
14     0.499875    0.424845    0.772947
15     0.544206    0.409441    0.768116
16     0.502695    0.410015    0.801932
17     0.535295    0.412728    0.787440
18     0.541297    0.380953    0.821256
19     0.480075    0.409739    0.801932
20     0.518394    0.367243    0.826087
epoch  train_loss  valid_loss  accuracy
1      0.718700    0.710241    0.318841
2      0.710670    0.654621    0.657005
3      0.650472    0.628017    0.710145
4      0.692035    0.644268    0.695652
5      0.695315    0.598311    0.719807
6      0.665327    0.558628    0.763285
7      0.628265    0.535716    0.748792
8      0.649303    0.532049    0.729469
9      0.643188    0.511885    0.739130
10     0.626951    0.481265    0.787440
11     0.569785    0.484383    0.768116
12     0.559651    0.464963    0.801932
13     0.588650    0.433890    0.816425
14     0.533176    0.447937    0.797101
15     0.524719    0.448646    0.772947
16     0.544497    0.418656    0.797101
17     0.523197    0.412128    0.816425
18     0.498612    0.380535    0.850242
19     0.529544    0.373326    0.855072
20     0.481541    0.443983    0.768116
total elapsed time: 00:04:04

SIMPLE-AWD-Finetuned-Autopsy: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.704166    0.600823    0.690821
2      0.681538    0.557430    0.724638
3      0.668554    0.526870    0.719807
4      0.623478    0.520932    0.753623
epoch  train_loss  valid_loss  accuracy
1      0.627277    0.514528    0.753623
2      0.604837    0.533013    0.768116
3      0.596933    0.492093    0.777778
4      0.587854    0.472787    0.787440
5      0.568554    0.479161    0.782609
6      0.586708    0.447988    0.772947
7      0.553558    0.442115    0.782609
8      0.545959    0.443539    0.811594
9      0.546487    0.441666    0.806763
10     0.539265    0.420993    0.777778
11     0.552401    0.421343    0.801932
12     0.545445    0.419177    0.782609
13     0.535437    0.403254    0.840580
14     0.519229    0.415201    0.787440
15     0.501029    0.404894    0.840580
16     0.474406    0.381871    0.850242
17     0.458294    0.364134    0.835749
18     0.432677    0.346038    0.855072
19     0.418448    0.336872    0.850242
20     0.457960    0.336227    0.859903
epoch  train_loss  valid_loss  accuracy
1      0.677772    0.656960    0.570048
2      0.687508    0.590944    0.729469
3      0.619790    0.608601    0.623188
4      0.576635    0.581969    0.690821
epoch  train_loss  valid_loss  accuracy
1      0.590568    0.564948    0.724638
2      0.597255    0.526537    0.768116
3      0.588495    0.509973    0.797101
4      0.575522    0.493843    0.792271
5      0.546378    0.458268    0.821256
6      0.590295    0.433548    0.816425
7      0.570377    0.459834    0.826087
8      0.564380    0.476266    0.821256
9      0.512131    0.437877    0.826087
10     0.514942    0.425368    0.840580
11     0.531668    0.411290    0.845411
12     0.507662    0.398021    0.855072
13     0.509668    0.404333    0.850242
14     0.510475    0.394925    0.816425
15     0.499173    0.391458    0.840580
16     0.516672    0.380780    0.874396
17     0.462843    0.371185    0.855072
18     0.468571    0.369465    0.874396
19     0.456392    0.352273    0.869565
20     0.438636    0.345088    0.869565
epoch  train_loss  valid_loss  accuracy
1      0.624889    0.647176    0.599034
2      0.645131    0.559693    0.714976
3      0.645505    0.546800    0.753623
4      0.610400    0.531136    0.748792
epoch  train_loss  valid_loss  accuracy
1      0.597359    0.524008    0.777778
2      0.561912    0.472473    0.787440
3      0.589129    0.475034    0.811594
4      0.581429    0.465500    0.806763
5      0.556006    0.455946    0.787440
6      0.547352    0.443056    0.782609
7      0.557471    0.427831    0.816425
8      0.546269    0.439590    0.816425
9      0.495875    0.448610    0.840580
10     0.498849    0.418651    0.845411
11     0.507957    0.387994    0.845411
12     0.546694    0.398057    0.840580
13     0.518686    0.405384    0.835749
14     0.496688    0.406173    0.845411
15     0.452840    0.398578    0.855072
16     0.446397    0.370023    0.864734
17     0.451034    0.353091    0.874396
18     0.446799    0.355516    0.874396
19     0.430908    0.339659    0.879227
20     0.442372    0.355268    0.835749
epoch  train_loss  valid_loss  accuracy
1      0.668368    0.616659    0.700483
2      0.662287    0.605345    0.690821
3      0.644308    0.595401    0.739130
4      0.656165    0.586340    0.739130
epoch  train_loss  valid_loss  accuracy
1      0.620625    0.556526    0.743961
2      0.610190    0.524984    0.797101
3      0.573764    0.531527    0.787440
4      0.600797    0.497365    0.763285
5      0.552175    0.495386    0.772947
6      0.558065    0.488268    0.768116
7      0.573594    0.459298    0.816425
8      0.584713    0.433654    0.782609
9      0.573131    0.441794    0.835749
10     0.587312    0.438002    0.772947
11     0.568565    0.430025    0.816425
12     0.553076    0.429315    0.850242
13     0.538386    0.414854    0.874396
14     0.487440    0.410301    0.845411
15     0.494788    0.399584    0.840580
16     0.512465    0.379821    0.850242
17     0.509662    0.381703    0.835749
18     0.518718    0.388574    0.811594
19     0.516137    0.363871    0.874396
20     0.464200    0.386125    0.830918
epoch  train_loss  valid_loss  accuracy
1      0.697279    0.688582    0.487923
2      0.659001    0.604610    0.671498
3      0.697688    0.576260    0.710145
4      0.680014    0.589750    0.690821
epoch  train_loss  valid_loss  accuracy
1      0.669218    0.555147    0.743961
2      0.631070    0.546967    0.772947
3      0.608735    0.499964    0.806763
4      0.607207    0.509297    0.792271
5      0.593582    0.541225    0.772947
6      0.582372    0.489945    0.811594
7      0.597961    0.492132    0.816425
8      0.570941    0.486135    0.821256
9      0.567382    0.468282    0.830918
10     0.556500    0.427540    0.835749
11     0.571601    0.417438    0.835749
12     0.547709    0.428866    0.845411
13     0.514850    0.392486    0.845411
14     0.551845    0.401507    0.859903
15     0.539499    0.398084    0.869565
16     0.505212    0.396468    0.845411
17     0.508222    0.383878    0.840580
18     0.486005    0.380902    0.855072
19     0.492227    0.363815    0.855072
20     0.480816    0.363905    0.874396
total elapsed time: 00:08:26

SIMPLE-AWD-Finetuned-Nidia: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.730891    0.541341    0.816425
2      0.695270    0.489322    0.748792
3      0.670168    0.523828    0.739130
4      0.650305    0.507091    0.739130
epoch  train_loss  valid_loss  accuracy
1      0.663922    0.509864    0.739130
2      0.621039    0.546120    0.734300
3      0.660323    0.479871    0.739130
4      0.608500    0.528627    0.758454
5      0.619630    0.520826    0.758454
6      0.568925    0.534514    0.753623
7      0.552449    0.537972    0.743961
8      0.605048    0.501992    0.763285
9      0.569788    0.541946    0.739130
10     0.598118    0.495682    0.768116
11     0.540342    0.502781    0.763285
12     0.555561    0.478904    0.758454
13     0.543111    0.517951    0.758454
14     0.523491    0.504569    0.743961
15     0.556304    0.486700    0.743961
16     0.575434    0.495145    0.739130
17     0.572202    0.505744    0.753623
18     0.538603    0.492862    0.748792
19     0.507131    0.522372    0.739130
20     0.492772    0.501749    0.763285
epoch  train_loss  valid_loss  accuracy
1      0.661560    0.612398    0.705314
2      0.667610    0.583049    0.705314
3      0.648099    0.618110    0.652174
4      0.614342    0.597869    0.690821
epoch  train_loss  valid_loss  accuracy
1      0.660590    0.542842    0.734300
2      0.620331    0.573720    0.719807
3      0.606277    0.545997    0.724638
4      0.583739    0.550209    0.719807
5      0.567918    0.555925    0.714976
6      0.583382    0.523929    0.705314
7      0.566478    0.514708    0.763285
8      0.560916    0.508225    0.753623
9      0.552516    0.523461    0.753623
10     0.552914    0.540988    0.758454
11     0.558627    0.487500    0.714976
12     0.552849    0.495689    0.739130
13     0.586050    0.476219    0.753623
14     0.556642    0.480578    0.729469
15     0.531762    0.482974    0.777778
16     0.523270    0.449623    0.753623
17     0.553485    0.433069    0.777778
18     0.534823    0.454118    0.768116
19     0.542105    0.457835    0.743961
20     0.498317    0.456401    0.782609
epoch  train_loss  valid_loss  accuracy
1      0.695487    0.561085    0.719807
2      0.621049    0.523129    0.734300
3      0.596520    0.535490    0.739130
4      0.590390    0.527675    0.748792
epoch  train_loss  valid_loss  accuracy
1      0.648292    0.532118    0.734300
2      0.627472    0.541599    0.724638
3      0.606129    0.555147    0.710145
4      0.590677    0.523911    0.729469
5      0.587370    0.523150    0.734300
6      0.570980    0.515986    0.724638
7      0.559837    0.537750    0.729469
8      0.567176    0.523953    0.724638
9      0.556613    0.552231    0.714976
10     0.526353    0.525300    0.714976
11     0.576979    0.514028    0.705314
12     0.535947    0.506282    0.743961
13     0.523129    0.504938    0.729469
14     0.559461    0.480362    0.758454
15     0.514208    0.508145    0.734300
16     0.498892    0.505433    0.714976
17     0.503669    0.488007    0.739130
18     0.498484    0.480878    0.748792
19     0.487612    0.473238    0.758454
20     0.534212    0.487812    0.734300
epoch  train_loss  valid_loss  accuracy
1      0.723261    0.664998    0.623188
2      0.685604    0.611754    0.700483
3      0.683872    0.643616    0.637681
4      0.654831    0.614643    0.685990
epoch  train_loss  valid_loss  accuracy
1      0.696706    0.571175    0.719807
2      0.679329    0.560382    0.714976
3      0.612996    0.603351    0.729469
4      0.648714    0.551518    0.729469
5      0.608699    0.554501    0.719807
6      0.596066    0.538973    0.739130
7      0.564968    0.537370    0.729469
8      0.587375    0.527209    0.748792
9      0.567328    0.513107    0.714976
10     0.553558    0.482481    0.724638
11     0.552578    0.485245    0.743961
12     0.579720    0.476553    0.768116
13     0.599163    0.485988    0.739130
14     0.558291    0.479148    0.772947
15     0.561814    0.462092    0.758454
16     0.564416    0.466369    0.743961
17     0.549632    0.478997    0.748792
18     0.534423    0.482666    0.734300
19     0.507521    0.478405    0.748792
20     0.496049    0.452474    0.748792
epoch  train_loss  valid_loss  accuracy
1      0.697231    0.662695    0.642512
2      0.674036    0.661179    0.671498
3      0.629536    0.657585    0.642512
4      0.641929    0.625840    0.724638
epoch  train_loss  valid_loss  accuracy
1      0.634274    0.629966    0.714976
2      0.626890    0.617311    0.695652
3      0.620053    0.612412    0.690821
4      0.628882    0.597596    0.705314
5      0.630784    0.589140    0.710145
6      0.609497    0.597382    0.700483
7      0.628731    0.579065    0.700483
8      0.567893    0.590591    0.700483
9      0.548193    0.577216    0.714976
10     0.564499    0.567718    0.714976
11     0.590968    0.564820    0.729469
12     0.538564    0.551420    0.729469
13     0.552195    0.557906    0.705314
14     0.559017    0.543315    0.714976
15     0.551368    0.521413    0.724638
16     0.550791    0.525622    0.734300
17     0.527799    0.516576    0.734300
18     0.513567    0.508747    0.714976
19     0.530547    0.525212    0.719807
20     0.541532    0.534613    0.714976
total elapsed time: 00:13:01

AWD: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.664592    0.672825    0.685990
2      0.634755    0.669010    0.599034
3      0.647749    0.738460    0.497585
4      0.626442    0.825520    0.458937
5      0.623872    0.798209    0.628019
6      0.635165    0.780243    0.454106
7      0.591003    0.752808    0.550725
8      0.587124    0.629527    0.690821
9      0.570545    0.618725    0.724638
10     0.545911    0.723287    0.652174
11     0.528983    0.515756    0.772947
12     0.553874    0.625008    0.690821
13     0.517538    1.370488    0.719807
14     0.492604    0.502078    0.792271
15     0.510596    0.562290    0.724638
16     0.508008    0.530436    0.758454
17     0.450069    0.378028    0.845411
18     0.481771    0.450523    0.821256
19     0.432777    0.380899    0.864734
20     0.395440    0.616939    0.695652
epoch  train_loss  valid_loss  accuracy
1      0.691444    0.619894    0.685990
2      0.714011    0.605653    0.724638
3      0.728108    0.502063    0.826087
4      0.697884    0.538610    0.835749
5      0.681064    0.509405    0.830918
6      0.689730    0.486608    0.826087
7      0.652532    0.465601    0.826087
8      0.588976    0.428906    0.840580
9      0.566693    0.379589    0.835749
10     0.580783    0.396603    0.859903
11     0.567843    0.332890    0.874396
12     0.557359    0.426925    0.797101
13     0.543625    0.387726    0.850242
14     0.506825    0.434757    0.855072
15     0.459303    0.413140    0.801932
16     0.474228    0.418232    0.782609
17     0.510621    0.391182    0.811594
18     0.483098    0.378104    0.864734
19     0.442228    0.499070    0.811594
20     0.476897    0.405477    0.845411
